st_date,VL
2022-02-20,1310000000000.0
2022-02-20,28100000000.0
2022-02-20,1850000000000.0
2022-02-20,2257839585885.0654
2022-02-20,1850000000000.0
2022-02-20,183839171353.7896
2022-02-20,276000000000.0
2022-02-20,3331466965.2855544
2022-02-20,535000000000.0
2022-02-20,403283312235.366
2022-02-20,0.0
2022-02-20,2526467228283.017
2022-02-20,480175901132.8528
2022-02-20,3400000000000.0
2022-02-20,1850000000000.0
2022-02-20,344851846153.8461
2022-02-20,583000000000.0
2022-02-20,231000000000.0
2022-02-20,583000000000.0
2022-02-20,271109750810.33093
2022-02-20,231000000000.0
2022-02-20,379000000000.0
2022-02-20,441000000.0
2022-02-27,369455354816.2946
2022-02-27,843000000000.0
2022-02-27,843000000000.0
2022-02-27,438000000000.0
2022-02-27,115000000000.0
2022-02-27,255453461538.46155
2022-02-27,735000000000.0
2022-02-27,133000000000.0
2022-02-27,664231903254.9478
2022-02-27,735000000000.0
2022-02-27,76293256111.82268
2022-02-27,30800000000.0
2022-02-27,457586786.11422175
2022-02-27,229000000000.0
2022-02-27,232122528264.00107
2022-02-27,417000000000.0
2022-02-27,183820638820.63882
2022-02-27,133000000000.0
2022-02-27,360087515742.09796
2022-02-27,374562669659.57855
2022-02-27,89599073120.49434
2022-02-27,467000000000.0
2022-02-27,735000000000.0
2022-02-27,417000000000.0
2022-02-27,207000000000.0
2022-02-27,181000000.0
2022-03-06,74770726569.96439
2022-03-06,617000000000.0
2022-03-06,617000000000.0
2022-03-06,234000000000.0
2022-03-06,134000000000.0
2022-03-06,659923500000.0
2022-03-06,350000000000.0
2022-03-06,376000000000.0
2022-03-06,0.0
2022-03-06,624317142651.2888
2022-03-06,350000000000.0
2022-03-06,554275101631.6757
2022-03-06,132000000000.0
2022-03-06,620240761.4781635
2022-03-06,81900000000.0
2022-03-06,112507634554.10538
2022-03-06,2190000000000.0
2022-03-06,184557739557.73956
2022-03-06,376000000000.0
2022-03-06,1650957470528.728
2022-03-06,531781123277.2385
2022-03-06,104690422245.10815
2022-03-06,633000000000.0
2022-03-06,350000000000.0
2022-03-06,2190000000000.0
2022-03-06,201000000000.0
2022-03-13,163224984799.79153
2022-03-13,1090000000000.0
2022-03-13,1090000000000.0
2022-03-13,381000000000.0
2022-03-13,59000000000.0
2022-03-13,298923923076.9231
2022-03-13,240000000000.0
2022-03-13,119000000000.0
2022-03-13,1131590895235.3506
2022-03-13,240000000000.0
2022-03-13,23163735590.577488
2022-03-13,8360000000.0
2022-03-13,1156215005.5991042
2022-03-13,13700000000.0
2022-03-13,87619949364.87845
2022-03-13,282000000000.0
2022-03-13,268083538083.5381
2022-03-13,119000000000.0
2022-03-13,287962260255.5897
2022-03-13,767267320030.0182
2022-03-13,240857466529.3512
2022-03-13,1180000000000.0
2022-03-13,240000000000.0
2022-03-13,282000000000.0
2022-03-13,304000000000.0
2022-03-13,17700000000.0
2022-03-20,1570000000000.0
2022-03-20,1570000000000.0
2022-03-20,235000000000.0
2022-03-20,179000000000.0
2022-03-20,52290638843.04699
2022-03-20,261683692307.69232
2022-03-20,490000000000.0
2022-03-20,54200000000.0
2022-03-20,1563930434011.5166
2022-03-20,490000000000.0
2022-03-20,21233424291.362698
2022-03-20,7050000000.0
2022-03-20,1528555431.131019
2022-03-20,69900000000.0
2022-03-20,63698625867.56297
2022-03-20,434000000000.0
2022-03-20,184501228501.22852
2022-03-20,54200000000.0
2022-03-20,373293350124.90454
2022-03-20,1080712442184.9148
2022-03-20,52553223480.94748
2022-03-20,1560000000000.0
2022-03-20,490000000000.0
2022-03-20,434000000000.0
2022-03-20,210000000000.0
2022-03-20,32000000000.0
2022-03-27,37043274993.48563
2022-03-27,2640000000000.0
2022-03-27,2640000000000.0
2022-03-27,391000000000.0
2022-03-27,35700000000.0
2022-03-27,544099076923.07697
2022-03-27,1030000000000.0
2022-03-27,108000000000.0
2022-03-27,2215303087572.6724
2022-03-27,1030000000000.0
2022-03-27,0.0
2022-03-27,31500000000.0
2022-03-27,1714725643.8969765
2022-03-27,25100000000.0
2022-03-27,84846783360.25143
2022-03-27,101000000000.0
2022-03-27,593157248157.2482
2022-03-27,108000000000.0
2022-03-27,257102813964.53125
2022-03-27,969551619935.8217
2022-03-27,109360823892.89392
2022-03-27,1750000000000.0
2022-03-27,1030000000000.0
2022-03-27,101000000000.0
2022-03-27,677000000000.0
2022-03-27,121000000.0
2022-04-03,11435522887.171024
2022-04-03,2680000000000.0
2022-04-03,2680000000000.0
2022-04-03,922000000000.0
2022-04-03,74900000000.0
2022-04-03,1515734692307.6924
2022-04-03,120000000000.0
2022-04-03,2047564192802.8687
2022-04-03,152586512223.64536
2022-04-03,15000000000.0
2022-04-03,1322788353.8633819
2022-04-03,50700000000.0
2022-04-03,55658856344.66804
2022-04-03,668000000000.0
2022-04-03,1546805896805.8967
2022-04-03,120000000000.0
2022-04-03,966655036439.0858
2022-04-03,989956598324.0583
2022-04-03,683220803295.5715
2022-04-03,1350000000000.0
2022-04-03,668000000000.0
2022-04-03,1770000000000.0
2022-04-03,0.0
2022-04-03,10800000000.0
2022-04-03,0.0
2022-04-03,0.0
2022-04-10,8400000000000.0
2022-04-10,8400000000000.0
2022-04-10,1270000000000.0
2022-04-10,185000000000.0
2022-04-10,622283807692.3077
2022-04-10,835000000000.0
2022-04-10,776000000000.0
2022-04-10,7387562253024.669
2022-04-10,835000000000.0
2022-04-10,24450609790.054016
2022-04-10,59900000000.0
2022-04-10,6153415453.527436
2022-04-10,30400000000.0
2022-04-10,445806463835.17395
