location,date,lag,pcorr,pval
Coeburn Norton Wise,2022-01-16 00:00:00,,0,
Coeburn Norton Wise,2022-01-09 00:00:00,,0,
Coeburn Norton Wise,2022-01-02 00:00:00,,0,
Coeburn Norton Wise,2021-12-26 00:00:00,,0,
Coeburn Norton Wise,2021-12-19 00:00:00,,0,
Coeburn Norton Wise,2021-12-12 00:00:00,,0,
Coeburn Norton Wise,2021-12-05 00:00:00,,0,
Coeburn Norton Wise,2021-11-28 00:00:00,,0,
HL Mooney,2023-03-05 00:00:00,-2,0.684849810770722,0.041804472869034257
HL Mooney,2023-02-26 00:00:00,,0,
HL Mooney,2023-02-19 00:00:00,,0,
HL Mooney,2023-02-12 00:00:00,,0,
HL Mooney,2023-02-05 00:00:00,,0,
HL Mooney,2023-01-29 00:00:00,,0,
HL Mooney,2023-01-22 00:00:00,,0,
HL Mooney,2023-01-15 00:00:00,,0,
HL Mooney,2023-01-08 00:00:00,,0,
HL Mooney,2023-01-01 00:00:00,,0,
HL Mooney,2022-12-25 00:00:00,,0,
HL Mooney,2022-12-18 00:00:00,-2,0.7165133392249877,0.008748037346719913
HL Mooney,2022-12-11 00:00:00,-2,0.7389455532330055,0.0060392902780683835
HL Mooney,2022-12-04 00:00:00,-2,0.6788849102860235,0.015199907939121775
HL Mooney,2022-11-27 00:00:00,,0,
HL Mooney,2022-11-20 00:00:00,,0,
HL Mooney,2022-11-13 00:00:00,,0,
HL Mooney,2022-11-06 00:00:00,,0,
HL Mooney,2022-10-30 00:00:00,-2,0.5937327702179424,0.04181178915080198
HL Mooney,2022-10-23 00:00:00,,0,
HL Mooney,2022-10-16 00:00:00,,0,
HL Mooney,2022-10-09 00:00:00,,0,
HL Mooney,2022-10-02 00:00:00,,0,
HL Mooney,2022-09-25 00:00:00,,0,
HL Mooney,2022-09-18 00:00:00,,0,
HL Mooney,2022-09-11 00:00:00,,0,
HL Mooney,2022-09-04 00:00:00,,0,
HL Mooney,2022-08-28 00:00:00,,0,
HL Mooney,2022-08-21 00:00:00,,0,
HL Mooney,2022-08-14 00:00:00,,0,
HL Mooney,2022-08-07 00:00:00,,0,
HL Mooney,2022-07-31 00:00:00,,0,
HL Mooney,2022-07-24 00:00:00,,0,
HL Mooney,2022-07-17 00:00:00,,0,
HL Mooney,2022-07-10 00:00:00,,0,
HL Mooney,2022-07-03 00:00:00,,0,
HL Mooney,2022-06-26 00:00:00,,0,
HL Mooney,2022-06-19 00:00:00,,0,
HL Mooney,2022-06-12 00:00:00,,0,
HL Mooney,2022-06-05 00:00:00,-2,0.5823751892363676,0.04693179781059112
HL Mooney,2022-05-29 00:00:00,-2,0.7668479096973281,0.0036123475784611476
HL Mooney,2022-05-22 00:00:00,-2,0.8224276077426708,0.0010234661193936113
HL Mooney,2022-05-15 00:00:00,-2,0.8282043501959708,0.0008764626651545996
HL Mooney,2022-05-08 00:00:00,-2,0.8324120827225493,0.000780081865607991
HL Mooney,2022-05-01 00:00:00,-2,0.8218959059661403,0.0010378945301420144
HL Mooney,2022-04-24 00:00:00,,0,
HL Mooney,2022-04-17 00:00:00,,0,
HL Mooney,2022-04-10 00:00:00,,0,
HL Mooney,2022-04-03 00:00:00,-2,0.8689361642538546,0.0002434217351413653
HL Mooney,2022-03-27 00:00:00,-2,0.971075369226358,1.518928211219112e-07
HL Mooney,2022-03-20 00:00:00,-2,0.9944070518837159,4.2697444857295315e-11
HL Mooney,2022-03-13 00:00:00,-2,0.8077363490788811,0.001483376019262753
HL Mooney,2022-03-06 00:00:00,-2,0.5865923018152589,0.04498183079093657
HL Mooney,2022-02-27 00:00:00,,0,
HL Mooney,2022-02-20 00:00:00,,0,
HL Mooney,2022-02-13 00:00:00,,0,
HL Mooney,2022-02-06 00:00:00,,0,
HL Mooney,2022-01-30 00:00:00,,0,
HL Mooney,2022-01-23 00:00:00,,0,
HL Mooney,2022-01-16 00:00:00,,0,
HL Mooney,2022-01-09 00:00:00,,0,
HL Mooney,2022-01-02 00:00:00,,0,
HL Mooney,2021-12-26 00:00:00,,0,
HL Mooney,2021-12-19 00:00:00,-2,0.6129840370337823,0.03405859452031875
HL Mooney,2021-12-12 00:00:00,,0,
HL Mooney,2021-12-05 00:00:00,,0,
HL Mooney,2021-11-28 00:00:00,,0,
Little Falls Run,2023-03-05 00:00:00,-2,0.8832051786551571,0.0015964161597967152
Little Falls Run,2023-02-26 00:00:00,-2,0.7154559793443651,0.020000831056365118
Little Falls Run,2023-02-19 00:00:00,,0,
Little Falls Run,2023-02-12 00:00:00,,0,
Little Falls Run,2023-02-05 00:00:00,,0,
Little Falls Run,2023-01-29 00:00:00,,0,
Little Falls Run,2023-01-22 00:00:00,,0,
Little Falls Run,2023-01-15 00:00:00,,0,
Little Falls Run,2023-01-08 00:00:00,,0,
Little Falls Run,2023-01-01 00:00:00,,0,
Little Falls Run,2022-12-25 00:00:00,,0,
Little Falls Run,2022-12-18 00:00:00,,0,
Little Falls Run,2022-12-11 00:00:00,,0,
Little Falls Run,2022-12-04 00:00:00,,0,
Little Falls Run,2022-11-27 00:00:00,,0,
Little Falls Run,2022-11-20 00:00:00,,0,
Little Falls Run,2022-11-13 00:00:00,,0,
Little Falls Run,2022-11-06 00:00:00,,0,
Little Falls Run,2022-10-30 00:00:00,-2,0.7847857127559239,0.002501081912795855
