sewershed,EW_stdate,lag,pcorr,pval,best_lag,best_corr,best_pval
Parkins Mill,2022-10-16,-1,0.0,0.0153173290532817,-2,0.7412587412587414,0.005801150474478243
Parkins Mill,2022-10-16,0,0.0,0.03858845292201944,-2,0.7412587412587414,0.005801150474478243
Parkins Mill,2022-10-16,1,0.0,0.012374896241793974,-2,0.7412587412587414,0.005801150474478243
Parkins Mill,2022-10-16,2,0.0,0.28522608724863086,-2,0.7412587412587414,0.005801150474478243
Parkins Mill,2022-10-09,-2,0.6503496503496504,0.022034190932365288,-2,0.6503496503496504,0.022034190932365288
Parkins Mill,2022-10-09,-1,0.0,0.035805997052029234,-2,0.6503496503496504,0.022034190932365288
Parkins Mill,2022-10-09,0,0.0,0.09717377477992865,-2,0.6503496503496504,0.022034190932365288
Parkins Mill,2022-10-09,1,0.0,0.036758515626188176,-2,0.6503496503496504,0.022034190932365288
Parkins Mill,2022-10-09,2,0.0,0.7042726674352059,-2,0.6503496503496504,0.022034190932365288
Parkins Mill,2022-10-02,-2,0.6153846153846154,0.03316990109010587,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-02,-1,0.0,0.11138981647538271,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-02,0,0.0,0.37150966693927856,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-02,1,0.0,0.5710157812668486,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-02,2,0.0,0.5041457186648326,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-09-25,-2,0.6094580274543612,0.03539464546687891,-2,0.6094580274543612,0.03539464546687891
Parkins Mill,2022-09-25,-1,0.0,0.15093472887541384,-2,0.6094580274543612,0.03539464546687891
Parkins Mill,2022-09-25,0,0.0,0.5193022970166132,-2,0.6094580274543612,0.03539464546687891
Parkins Mill,2022-09-25,1,0.0,0.7037732307139831,-2,0.6094580274543612,0.03539464546687891
Parkins Mill,2022-09-25,2,0.0,0.455172655470345,-2,0.6094580274543612,0.03539464546687891
Parkins Mill,2022-09-18,-2,0.0,0.050765334660570934,,,
Parkins Mill,2022-09-18,-1,0.0,0.18998452241526717,,,
Parkins Mill,2022-09-18,0,0.0,0.6318819018346753,,,
Parkins Mill,2022-09-18,1,0.0,0.7037732307139831,,,
Parkins Mill,2022-09-18,2,0.0,0.6397398196020827,,,
Parkins Mill,2022-09-11,-2,0.0,0.39023367392363684,,,
Parkins Mill,2022-09-11,-1,0.0,0.5854885829639287,,,
Parkins Mill,2022-09-11,0,0.0,0.7613069111155328,,,
Parkins Mill,2022-09-11,1,0.0,0.8115329720669271,,,
Parkins Mill,2022-09-11,2,0.0,0.8031113573515823,,,
Parkins Mill,2022-09-04,-2,0.0,0.5553252966401302,,,
Parkins Mill,2022-09-04,-1,0.0,0.8539005081597718,,,
Parkins Mill,2022-09-04,0,0.0,0.455172655470345,,,
Parkins Mill,2022-09-04,1,0.0,0.5854885829639287,,,
Parkins Mill,2022-09-04,2,0.0,0.7282748777285676,,,
Parkins Mill,2022-08-28,-2,0.0,0.7280862602638447,,,
Parkins Mill,2022-08-28,-1,0.0,0.9681133688856378,,,
Parkins Mill,2022-08-28,0,0.0,0.7079341542451165,,,
Parkins Mill,2022-08-28,1,0.0,0.862361017768321,,,
Parkins Mill,2022-08-28,2,0.0,0.9258397000680176,,,
Parkins Mill,2022-08-21,-2,0.0,0.43126022644063056,,,
Parkins Mill,2022-08-21,-1,0.0,0.28899324880837346,,,
Parkins Mill,2022-08-21,0,0.0,0.748394097967918,,,
Parkins Mill,2022-08-21,1,0.0,0.5917572401960799,,,
Parkins Mill,2022-08-21,2,0.0,0.12023534902406141,,,
Parkins Mill,2022-08-14,-2,0.0,0.11925475721599557,2,0.0,0.016121586767816592
Parkins Mill,2022-08-14,-1,0.0,0.23221559214854812,2,0.0,0.016121586767816592
Parkins Mill,2022-08-14,0,0.0,0.6012097556087768,2,0.0,0.016121586767816592
Parkins Mill,2022-08-14,1,0.0,0.20487715111917146,2,0.0,0.016121586767816592
Parkins Mill,2022-08-14,2,0.0,0.016121586767816592,2,0.0,0.016121586767816592
Parkins Mill,2022-08-07,-2,0.0,0.08405903081494369,2,0.0,0.0014272961872224658
Parkins Mill,2022-08-07,-1,0.0,0.15441839412466296,2,0.0,0.0014272961872224658
Parkins Mill,2022-08-07,0,0.0,0.2393430798480268,2,0.0,0.0014272961872224658
Parkins Mill,2022-08-07,1,0.0,0.054880835202895675,2,0.0,0.0014272961872224658
Parkins Mill,2022-08-07,2,0.0,0.0014272961872224658,2,0.0,0.0014272961872224658
Parkins Mill,2022-07-31,-2,0.0,0.12827587280115238,2,0.0,0.004714320551196522
Parkins Mill,2022-07-31,-1,0.0,0.3176478222527002,2,0.0,0.004714320551196522
Parkins Mill,2022-07-31,0,0.0,0.39213583771594773,2,0.0,0.004714320551196522
Parkins Mill,2022-07-31,1,0.0,0.12421399642576281,2,0.0,0.004714320551196522
Parkins Mill,2022-07-31,2,0.0,0.004714320551196522,2,0.0,0.004714320551196522
Parkins Mill,2022-07-24,-2,0.0,0.08491152760422817,2,0.0,0.0034824595262923134
Parkins Mill,2022-07-24,-1,0.0,0.29017357578118624,2,0.0,0.0034824595262923134
Parkins Mill,2022-07-24,0,0.0,0.36136637559800333,2,0.0,0.0034824595262923134
Parkins Mill,2022-07-24,1,0.0,0.15441839412466296,2,0.0,0.0034824595262923134
Parkins Mill,2022-07-24,2,0.0,0.0034824595262923134,2,0.0,0.0034824595262923134
Parkins Mill,2022-07-17,-2,0.0,0.05582263340222192,2,0.0,0.0027778892723005944
Parkins Mill,2022-07-17,-1,0.0,0.25841872523187825,2,0.0,0.0027778892723005944
Parkins Mill,2022-07-17,0,0.0,0.31766237942092473,2,0.0,0.0027778892723005944
Parkins Mill,2022-07-17,1,0.0,0.12619736664661996,2,0.0,0.0027778892723005944
Parkins Mill,2022-07-17,2,0.0,0.0027778892723005944,2,0.0,0.0027778892723005944
Parkins Mill,2022-07-10,-2,0.0,0.19417917606506618,2,0.0,0.01190921195113651
Parkins Mill,2022-07-10,-1,0.0,0.6669046355985243,2,0.0,0.01190921195113651
Parkins Mill,2022-07-10,0,0.0,0.7805538526280621,2,0.0,0.01190921195113651
Parkins Mill,2022-07-10,1,0.0,0.2861051019083129,2,0.0,0.01190921195113651
Parkins Mill,2022-07-10,2,0.0,0.01190921195113651,2,0.0,0.01190921195113651
Parkins Mill,2022-07-03,-2,0.6778302010921357,0.04480926269300501,-2,0.6778302010921357,0.04480926269300501
Parkins Mill,2022-07-03,-1,0.0,0.27302974714377237,-2,0.6778302010921357,0.04480926269300501
Parkins Mill,2022-07-03,0,0.0,0.2861051019083129,-2,0.6778302010921357,0.04480926269300501
